Day,Day post_inf,RFP 1,RFP 2,RFP 3,RFP 4,Hybrid1,Hybrid 2,Hybrid 3,Hybrid 4,Perm1,Perm2,Perm3,Perm4,Ctrl_RFP1,Ctrl_RFP2,Ctrl_RFP3,Ctrl_RFP4,Ctrl_Hyb1,Ctrl_Hyb2,Ctrl_Hyb3,Ctrl_Hyb4,Ctrl_Perm1,Ctrl_Perm2,Ctrl_Perm3,Ctrl_Perm4,Species
5,2 days,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,1,3,3,0,0,0,0,0,An.kisumu
5.5,2 days,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,1,1,0,0,0,0,An.kisumu
6,2 days,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,5,3,4,3,0,0,0,0,An.kisumu
6.5,2 days,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,2,1,1,2,0,0,0,0,An.kisumu
7,2 days,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,1,2,2,3,0,0,0,0,An.kisumu
7.5,2 days,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,3,1,2,1,2,0,0,0,0,An.kisumu
8,2 days,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,An.kisumu
8.5,2 days,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,An.kisumu
9,2 days,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.kisumu
9.5,2 days,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.kisumu
10,2 days,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.kisumu
10.5,2 days,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.kisumu
11,2 days,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.kisumu
11.5,2 days,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.kisumu
12,2 days,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.kisumu
12.5,2 days,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,An.kisumu
13,2 days,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,An.kisumu
13.5,2 days,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,An.kisumu
14,2 days,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.kisumu
Alive,2 days,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,27,28,26,28,An.kisumu
0,3 days,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.coluzzii
0.5,3 days,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.coluzzii
